53,4,same,up,down
7.8,4.5,7.8,4.5,1
7.8,7.8,7.8,7.8,0
8.1,7.8,8.1,7.8,2
7.5,8.1,7.5,8.1,2
5.6,7.5,5.6,7.5,2
8.1,5.6,8.1,5.6,2
8.1,8.1,8.1,8.1,2
8.6,8.1,8.6,8.1,2
8.4,8.6,8.4,8.6,2
5.6,8.4,5.6,8.4,1
8.6,5.6,8.6,5.6,1
9,8.6,9,8.6,2
10,9,10,9,2
9.4,10,9.4,10,0
4.9,9.4,4.9,9.4,1
7.6,4.9,7.6,4.9,1
7.8,7.6,7.8,7.6,2
8,7.8,8,7.8,1
5.6,8,5.6,8,1
8.2,5.6,8.2,5.6,2
8.2,8.2,8.2,8.2,2
8.1,8.2,8.1,8.2,1
7.6,8.1,7.6,8.1,0
5.2,7.6,5.2,7.6,0
8.2,5.2,8.2,5.2,1
7.9,8.2,7.9,8.2,1
8,7.9,8,7.9,0
7.9,8,7.9,8,1
5.8,7.9,5.8,7.9,1
7.8,5.8,7.8,5.8,1
8.2,7.8,8.2,7.8,1
8.1,8.2,8.1,8.2,1
7.9,8.1,7.9,8.1,1
5.2,7.9,5.2,7.9,1
7.8,5.2,7.8,5.2,1
8.1,7.8,8.1,7.8,2
8.3,8.1,8.3,8.1,1
8.2,8.3,8.2,8.3,1
5.6,8.2,5.6,8.2,2
7.6,5.6,7.6,5.6,1
8.2,7.6,8.2,7.6,2
8.4,8.2,8.4,8.2,1
8.3,8.4,8.3,8.4,1
5.5,8.3,5.5,8.3,2
9,5.5,9,5.5,2
8.8,9,8.8,9,1
8.9,8.8,8.9,8.8,1
7.7,8.9,7.7,8.9,1
6.8,7.7,6.8,7.7,1
8.2,6.8,8.2,6.8,2
8.7,8.2,8.7,8.2,2
9.2,8.7,9.2,8.7,2
8,9.2,8,9.2,1
