1240,same,up,down
278.92,279.03,279.33,1
278.56,278.44,279.37,1
278.19,276.85,278.25,2
277.37,277.95,278.28,1
277.4,275.79,277.52,1
275.1,275.05,275.53,1
274.9,274.53,275.185,1
273.6,272.41,273.94,2
270.94,272.15,272.49,1
272.61,270.5,273.11,2
269.02,270.31,271.17,0
272.15,272.15,272.86,2
272.8,272.91,273.22,1
273.36,271.17,273.39,2
272.61,273.96,274.25,1
273.37,273.01,273.98,2
271.33,271.62,272.03,1
272.01,271.94,273.23,1
272.24,271.14,272.76,2
271.1,271.59,271.61,2
272.98,273.34,274.08,1
272.85,272.16,273.15,1
272.02,270.34,272.39,1
269.5,267.68,269.865,1
266.92,266.5,267.325,1
266.92,266.89,268.02,1
266.02,261.52,266.7892,1
262.62,262.26,263.36,2
263.2,264.76,265.68,1
264.98,263.87,265.1,2
264.51,267.26,267.89,2
266.56,267,267.34,1
266.31,264.79,267.2452,1
263.63,262.91,264.13,2
262.98,267.73,267.9762,2
266.57,267.26,267.89,2
266.61,268.81,269.06,2
268.89,269.65,269.88,2
270.39,270.69,271.3,1
270.19,269.33,270.87,1
267.33,267,268.2,2
265.15,267.41,267.54,1
265.93,265.26,267,1
263.76,263.47,265.64,1
265.15,264.27,266.04,2
261,261.37,264.84,2
259.72,263.42,265.11,1
265.64,265.55,266.64,1
263.56,256.75,264.355,1
260.77,258.87,261.31,2
257.47,262.55,263.13,1
263.15,261.12,265.26,2
259.83,260.75,262.64,2
260.6,266.17,266.77,1
265.11,262.13,265.43,2
258.05,264.17,265.02,2
263.67,267.91,268.87,2
270.43,270.9,273.27,1
270.95,270.94,271.67,2
270.49,273.35,274.3957,2
274.2,274.5,275.39,2
275,275.88,276.61,2
275.3,277.81,278.02,2
276.72,279.84,280.41,2
278.52,279.2,279.91,1
278.87,275.7,278.87,1
274.1,273.55,274.24,1
272.78,270.42,273.18,2
272.88,273.3,273.39,1
272.19,267.73,272.89,1
269.08,265.8,269.72,2
267.7,271.41,273.17,2
271.65,275.68,276.19,2
274.43,278.11,278.92,1
277.9,275.93,278.01,1
274.71,271.79,274.71,2
