1240,same,up,down
213.5,212.71,213.75,2
212.88,213.15,213.78,2
213.03,213.24,213.57,1
213.1,212.24,213.4,0
212.44,212.44,212.61,1
212.21,211.24,212.32,2
210.02,210.47,211.22,1
209.98,209.61,210.63,2
210.605,211.57,211.89,1
211.62,210.88,211.86,1
208.87,207.92,209.38,2
208.04,209.56,209.93,2
208.9,211.03,211.46,1
211.32,211.23,212.02,1
210.72,209.4,210.77,2
208.46,209.88,210.35,1
210.57,210.37,211.29,1
211.44,210.74,211.5,2
210.77,212.33,212.48,2
211.6499,211.66,211.97,1
211.16,210.15,211.94,1
210.63,210.01,210.85,2
209.6,210.67,210.86,1
209.85,209.06,210.25,2
207.95,208.94,209.23,1
210.37,210.03,210.98,1
210.43,210.05,211.04,1
209.49,208.85,209.71,2
209.09,209.87,210.63,1
210.04,209.2,210.09,1
208.9,207.78,209.18,1
207.975,207.55,208.51,2
207.28,207.855,208.76,1
207.83,205.37,208.45,1
206.435,205.62,206.98,2
205.7,206.39,206.42,2
206.43,207.26,208.1,1
208.25,206.98,208.61,1
205.74,205.13,205.95,1
205.27,204.96,206.37,2
205.76,209.07,209.35,2
208.82,209.85,210.4,2
210,210.42,211.11,1
210.41,209.71,211.02,2
209.5,209.96,210.4697,1
210.46,207.39,211.27,1
207.96,207.69,208.42,1
208.58,206.71,208.69,2
205.8272,206.77,207.9338,1
207.1,205.26,207.175,2
204.5,205.29,205.5,2
204.98,206.71,206.81,1
208.36,207.74,208.79,2
207.5,209.42,209.94,2
210.46,210.62,210.8,2
210.2301,210.4,210.49,2
211.12,211.47,212.054,1
211.99,210.78,212.06,2
210.66,211.26,211.58,2
211.38,211.52,211.71,2
211.63,211.66,212.24,1
211.81,211.12,212.05,1
211.209,210.94,211.21,1
211.239,209.48,211.33,1
209.98,209.41,210.42,1
210.13,209.66,210.22,1
210.11,209.4,210.32,1
209.78,209.07,209.84,1
208.92,207.89,208.99,1
206.93,206.61,207.45,1
206.81,205.88,207.12,2
204.63,204.77,205.64,2
205.55,206.56,207.24,1
206.12,204.86,206.3,1
204.06,203.92,205.38,1
204.84,203,204.85,1
201.92,200.05,202.03,2
199.45,200.57,202.17,1
201.9902,200.38,202.3,2
200.14,204.17,204.29,2
202.74,202.97,204.12,1
205.45,204.71,205.56,2
204.97,205.79,206.1,1
206.1,203.99,206.26,1
203.08,201.5,203.66,2
202.055,202.4,202.72,1
201.63,198.77,201.82,2
199.0199,201.63,202.01,1
200.86,199.65,201.1,2
202.08,204.12,205.48,2
202.65,204.41,204.6,2
204.25,206.4,206.42,1
205.9,204.01,206.16,1
202.31,201.42,202.72,2
199.82,202.09,202.72,2
201.72,204.17,204.37,2
205.43,206.38,206.88,2
205.54,207.99,208.19,2
207.6,208.21,208.37,1
208.72,208.22,208.97,1
208.44,208.31,208.85,2
207.77,208.02,208.34,2
207.75,208.17,208.23,1
207.47,206.75,207.47,1
206.52,206.43,207.33,1
206.78,204.74,212.97,1
201.79,198.44,202.34,2
197.91,198.58,202.395,2
199.51,201.98,202.53,2
200.89,202.64,203.819,1
204.19,203.88,206.19,2
203.1601,205.91,205.98,1
206.47,204.37,206.6,2
206.61,207.52,208.12,1
208,207.87,208.47,1
207.66,207.54,208.265,1
207.89,207.3,208.15,1
207.085,205.81,207.34,2
205.76,206.4,206.54,2
207.2,207.49,207.87,1
207.64,207.29,207.76,2
207.11,207.54,207.79,1
207.26,207.17,207.39,2
206.68,207.64,207.8445,1
205.58,204.26,205.71,2
205.22,205.31,205.55,1
205.55,204.44,205.92,1
204.37,203.85,204.58,1
204.24,204.1,204.49,1
204.19,204.16,204.83,1
203.96,203.35,204.24,1
204.175,204.055,204.31,1
203.98,203.38,204.04,1
203.34,203.17,203.5999,1
203.15,202.39,203.26,2
202.34,202.54,202.59,2
201.07,201.23,201.6,2
201.77,201.92,202.45,2
201.66,201.78,201.82,1
199.38,197.58,199.95,2
198.11,198.55,199.12,1
198.41,196.82,198.42,1
196.16,195.73,196.45,1
196.43,195.25,196.49,1
194.93,194.62,196.2,2
192.69,194.41,194.91,1
194.07,191.68,194.2,1
190.3,188.13,190.45,1
188.47,188.42,189.75,1
186.27,183.06,187.58,1
186.43,185.16,187.694,2
187.7,188.42,189.82,2
187.4099,190.46,191.15,2
190.54,192.69,193.65,2
192.74,196.33,196.6,1
196.64,193.37,196.92,2
193.26,195.28,195.72,2
196.29,197.34,197.6,1
196.52,195.68,196.94,1
194.38,194.18,195.055,2
194.35,196.7,196.77,2
197.02,197.69,198.3,1
197.54,196.2,197.89,1
197.9,196.7,198.39,2
196.34,199.04,199.05,1
199.56,198.04,199.69,2
198.01,198.43,199.26,2
199.15,200.35,200.38,2
200.7,201.52,201.899,1
201.82,201.36,201.85,2
200.75,200.77,201.68,1
200.48,198.61,200.84,2
198.981,199.16,199.32,2
199.13,200.1,200.12,1
200.3,199.27,200.33,1
200.07,199.43,200.2,2
199.32,200.41,200.55,2
200.59,200.92,201.21,1
201.11,200.17,201.19,2
200.2101,200.84,201.58,2
200.5,201.38,201.41,2
200.61,200.97,200.995,1
200.71,200.45,200.73,1
200.14,199.59,200.27,2
200.25,200.43,200.57,0
200.33,200.33,200.82,1
200.2,200.14,200.5949,2
199.19,199.34,199.69,1
199.5,199.09,199.76,1
198.92,198.12,199.16,1
198.39,197.84,198.54,1
197.36,196.8,197.45,2
195.72,196.47,196.65,1
195.76,195.16,195.76,1
194.84,194.29,195.06,2
193.53,193.61,194.15,2
193.795,193.965,194.66,1
193.24,191.46,193.37,2
191.03,192.935,193.13,1
192.07,191.11,192.89,2
192.01,193.1,193.6,1
193.89,192.87,194.3,2
192.5,192.56,193.76,2
193.09,195.61,195.78,2
196.98,197.65,197.91,2
196.95,198.17,198.45,1
197.8,197.76,198.09,2
197.72,198.09,198.26,2
198.65,198.83,199.06,1
198.64,198.495,198.85,1
198.2,198.01,198.56,1
197.34,197.09,197.5,1
197.7099,196.35,197.91,2
195.71,197.35,198.1,2
197.96,198.11,198.26,2
197.23,197.72,198.1,2
197.6,197.61,197.86,1
196.61,196.22,196.75,1
196.34,195.22,196.86,1
197.12,196.73,197.295,2
196.24,197.15,197.22,2
197.51,197.82,197.98,1
198.2,197.79,198.29,1
197.23,197.05,197.48,1
197.03,196.19,197.63,1
195.72,195.7,196.165,1
195.82,194.98,195.88,2
195.44,195.61,195.63,1
195.58,194.25,195.781,2
194.7,195.53,196.5,2
195.88,195.97,196.05,2
195.94,196.03,196.1039,1
196.48,196.43,196.6,1
196.255,194.83,196.37,1
194.83,194.02,194.97,1
194.29,193.89,194.7,1
194.13,193.9,194.32,2
193.54,194.65,194.8,1
194.92,194.9,195.12,1
195.6,195.33,195.64,1
195.58,195.35,196.05,1
195.375,194.87,195.43,
