2497,,same,up,down
150.16,190598.4,149.97,150.3268,1
149.41,218116.9,149.31,149.64,1
149.4,257537.4,148.55,149.62,1
148.9,215633.8,149.2,149.33,2
148.58,233455.2,148.37,149.1732,1
148.92,259241.5,149.46,149.6899,2
149.37,277213.8,149.66,149.69,2
149.86,234019.8,149.89,150.1,2
150.07,253750.7,149.81,150.28,1
150.01,215047.8,150.31,150.6,2
150.63,268855.6,149.96,150.77,1
149.84,301539.9,150.1,150.1999,2
149.75,212587.8,149.32,149.87,1
148.68,171279.7,148.15,148.76,1
147.76,135121.4,147.9,148.37,2
148.05,116960.7,147.79,148.289,1
148,208970.1,147.78,148.51,1
147.45,575977.7,147.45,147.69,0
147.17,218846.7,146.45,147.3902,1
146.63,134758.7,146.28,147.15,1
145.49,268492.1,145.87,146.03,2
146.65,178433.4,146.11,146.7837,1
145.69,189823.4,146.4,146.75,2
146.25,185422.3,146.35,146.76,2
147.17,123314.1,147.37,147.68,2
147.27,127062.9,147.33,147.5262,2
147.41,253263.5,147.29,147.62,1
146.93,180217.3,146.31,147.059,1
146.27,197744.7,145.89,146.2901,1
145.78,150851.9,144.17,145.91,1
144.92,152398.7,145.19,145.53,2
145.09,200411.7,144.82,145.51,1
144.27,537952,145.22,145.34,2
145.22,253503.7,146.6,146.6399,2
146.39,208464.3,146.23,146.74,1
146.63,212616.7,145.3,146.67,1
145.39,234003.2,145.77,146.09,2
145.07,144385,144.79,145.16,1
144.84,150787.5,145,145.24,2
145.1,203436.8,145.07,145.42,1
145.45,132767.6,145.13,145.5,1
145.13,176712.6,144.02,145.33,1
144.47,157131.9,144.77,144.84,2
144.7,196541,144.53,144.98,1
144.61,144059.3,144.18,144.66,1
143.43,204247.2,143.62,144.0999,2
144.46,143481.8,144.39,144.6135,1
144.09,215310.6,143.46,144.11,1
142.79,175648,141.66,143,1
141.6,279624.2,141.13,141.6249,1
140.41,132597.8,141.36,141.47,2
140.77,281987.9,139.56,140.88,1
140.43,184960.4,140.9,141.66,2
140.33,249061,139.43,140.69,1
139.46,295886,141.2,141.89,2
140.77,208527.2,140.7,141.252,1
140.45,434768.4,141.85,141.99,2
142.45,122632.3,143,143.0836,2
